,Unnamed: 0,Model,City,Year,Fuel,Kilometer,Price in Rs
0,0,3,Pune,2020,1,25,1100000
1,1,0,Nalgonda,2019,0,26556,880000
2,2,1,Solan,2018,0,179,962000
3,3,3,Kanpur,2018,0,32154,645000
4,4,3,Vadodara,2018,0,34116,900000
5,5,0,Secunderabad,2018,0,77035,860000
6,6,0,Faridabad,2018,0,37455,795000
7,7,1,Gwalior,2018,0,74023,750000
8,8,1,Pune,2018,0,24859,950000
9,9,1,Indore,2018,0,34962,875000
10,10,2,Belgaum,2017,0,63134,799000
11,11,1,Hyderabad,2017,0,85085,920000
12,12,1,Satna,2017,0,140513,665000
13,13,2,"Navi Mumbai, Panvel",2017,0,29513,650000
14,14,3,Karnal,2017,0,164424,725000
15,15,1,Khargone,2017,0,152610,650000
16,16,2,Cochin,2017,0,59730,750000
17,17,0,Pune,2017,0,64203,800000
18,18,0,Surat,2016,0,60738,651000
19,19,2,Jalgaon,2016,0,54467,800000
20,20,3,Pune,2016,0,66940,800000
21,21,0,Enikepadu,2016,0,93531,800000
22,22,0,Korba,2015,0,85424,550000
23,23,3,Bharuch,2015,0,253712,550000
24,24,1,Ranchi,2015,0,73905,560000
25,25,0,Ahmedabad,2015,0,84206,485000
26,26,1,Hyderabad,2015,0,55896,695000
27,27,2,Gorakhpur,2015,0,122358,488800
28,28,2,Calicut,2015,0,65529,610000
29,29,0,Visakhapatnam,2015,0,92989,730000
30,30,3,Raipur,2015,0,171847,540000
31,31,3,Bangalore,2015,0,49808,770000
32,32,1,Patna,2015,0,77923,560000
33,33,0,Hyderabad,2015,0,136085,635000
34,34,0,Jammu,2020,1,15613,810000
35,35,3,Ahmedabad,2017,0,174505,650000
